MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,INDRAPRASTHA MEDICAL CORP,        84.30,        84.85,        94.20,        84.50,        88.10,                155184501.80,1755645,N, ,12299,       102.50,        45.30
N,IND SWIFT LABORATORIES LT,        94.60,        96.00,       104.95,        95.30,       100.65,                 92397875.40,912863,N, ,13212,       125.60,        31.40
N,IND TERRAIN FASHIONS LTD,        40.90,        41.00,        42.00,        39.50,        41.35,                  8392424.05,205342,N, ,1049,        52.50,        24.10
N,INDUS TOWERS LIMITED,       238.65,       239.30,       239.30,       231.50,       234.55,                556420982.30,2367457,N, ,26903,       282.65,       162.20
N,INEOS STYROLUTION IND LTD,      1439.20,      1446.40,      1461.35,      1428.85,      1447.25,                 22945180.40,15864,N, ,2004,      1565.80,       484.00
N,INFIBEAM AVENUES LIMITED,        51.85,        52.25,        52.50,        51.30,        51.35,                265720806.80,5141122,N, ,11741,       113.70,        36.70
N,INFOBEANS TECHNO. LTD.,       407.85,       420.00,       420.00,       400.20,       408.75,                 24525581.65,59837,N, ,2454,       443.90,        88.15
N,INGERSOLL-RAND INDIA LTD,       981.35,       986.30,       992.75,       976.15,       987.30,                 28852546.70,29294,N, ,3024,      1043.00,       555.00
N,INNOVANA THINKLABS LTD.,       203.50,       195.10,       202.95,       193.35,       201.95,                  1979300.00,10000,N, ,10,       209.80,        70.25
N,INNOVATIVE TYRES & TUBES,        12.80,        13.35,        13.40,        13.35,        13.40,                   321300.00,24000,N, ,8,        13.40,         5.65
N,INOX LEISURE LIMITED,       308.70,       309.65,       316.90,       308.00,       312.55,                 73462743.70,235324,N, ,12981,       359.00,       220.00
N,INOX WIND LIMITED,        82.45,        82.55,        84.40,        81.75,        82.80,                  7619975.35,92063,N, ,2069,        96.70,        34.05
N,INSECTICIDES (I) LTD,       736.85,       732.00,       740.05,       722.00,       728.20,                 20580614.00,28120,N, ,5340,       808.85,       393.00
N,INSPIRISYS SOLUTIONS LTD,        53.40,        54.55,        55.75,        53.05,        54.85,                  2053831.80,37562,N, ,564,        58.50,        21.10
N,INTELLECT DESIGN ARENA,       723.95,       728.75,       740.25,       723.00,       730.70,                441879413.75,604041,N, ,11616,       848.50,       105.00
N,INTENSE TECHNOLOGIES LTD,        70.35,        70.75,        71.55,        69.65,        70.60,                  3346052.55,47324,N, ,668,        84.85,        23.65
