GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
L,P&G HYGIENE & HEALTH CARE,     13290.90,     13307.10,-0.12
L,AMBUJA CEMENTS LTD,       340.30,       340.65,-0.1
L,SIEMENS LTD,      2019.85,      2021.05,-0.06
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,UNS RED NCD SR. VI,       547.44,       456.20,20
G,SRNCD SR VII B,       564.60,       470.50,20
G,SEC RED NCD ZC SR. VIII,       360.00,       300.00,20
G,SHARDA MOTOR INDS LTD,       639.00,       532.50,20
G,POWER MECH PROJECTS LTD.,       899.30,       749.45,19.99
G,SAKAR HEALTHCARE LIMITED,       187.60,       156.35,19.99
G,NDR AUTO COMPONENTS LTD,       340.40,       283.70,19.99
G,DAMODAR INDUSTRIES LTD,        50.35,        42.10,19.6
G,IREDA 8.55NCDTR I SR II A,      1489.00,      1247.60,19.35
G,PENNAR INDUSTRIES LTD,        31.50,        26.65,18.2
G,APEX FROZEN FOODS LIMITED,       341.10,       290.25,17.52
G,INDIA GLYCOLS LTD,       747.90,       642.60,16.39
G,VETO SWITCHGEAR CABLE LTD,       148.90,       129.90,14.63
G,PRIVI SPECIALITY CHE LTD,      1265.00,      1109.50,14.02
G,AUSOM ENTERPRISE LIMITED,        88.70,        78.05,13.65
G,BANG OVERSEAS LTD.,        37.75,        33.25,13.53
G,MMP INDUSTRIES LIMITED,       114.75,       101.15,13.45
G,HAPPIEST MINDS TECHNO LTD,      1136.65,      1004.10,13.2
G,KOTHARI PRODUCTS LTD,       120.15,       106.70,12.61
G,RAJRATAN GLOBAL WIRE LTD,      1751.05,      1557.10,12.46
G,JULLUNDUR MOT AGENCY LTD,        60.25,        53.70,12.2
G,THE HI-TECH GEARS LIMITED,       304.20,       272.05,11.82
G,NUCLEUS SOFTWARE EXPORTS,       700.35,       628.95,11.35
G,SEC RED NCD 9.60% SR. V,       480.00,       432.00,11.11
G,PREMIER POLYFILM LTD,        71.60,        64.70,10.66
G,AKASH INFRA-PROJECTS LTD,       242.60,       219.70,10.42
G,SAKSOFT LIMITED,       626.95,       568.20,10.34
G,BIRLASLAMC - ABSLRIF6RD,        11.00,        10.00,10
G,UNIVASTU INDIA LIMITED,        51.15,        46.50,10
G,MOHOTA INDUSTRIES LIMITED,         8.80,         8.00,10
 , , , , 
L,SEC RED NCD 10.00% SR. VI,       380.00,       475.00,-20
L,SEC RED NCD 9.00% SR. VII,       328.00,       410.00,-20
L,SEC RED NCD SR. VII,       560.00,       700.00,-20
L,SEC RED NCD 9.12% SR. VI,       350.00,       428.02,-18.23
L,SEC RED NCD 9.50% SR. VII,       369.99,       450.00,-17.78
L,SEC RED NCD 8.65% SR. VI,       336.90,       400.00,-15.78
L,BOND 6.88% PA TAX FREE S1,      1085.00,      1285.00,-15.56
L,UNS RED NCD 9.40% SR. IV,       170.00,       201.00,-15.42
L,9.75% SRNCD SR VI B,       382.10,       440.00,-13.16
