SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
LCCINFOTEC,BE,LCC INFOTECH LTD,H
LICNETFN50,EQ,LICNAMC - LICNFENGP,H
LPDC,BE,LANDMARK PR.DEV.CO.LTD,H
MADHUCON,EQ,MADHUCON PROJECTS LTD.,H
MAGADSUGAR,EQ,MAGADH SUGAR & ENERGY LTD,H
MAGNUM,BE,MAGNUM VENTURES LTD.,H
MAHAPEXLTD,BE,MAHA RASHTRA APEX COPR. L,H
MANAKALUCO,BE,MANAK ALUMINIUM CO. LTD.,H
MANGTIMBER,BE,MANGALAM TIMBER PRODUCTS,H
MARSHALL,SM,MARSHALL MACHINES LTD,H
MASKINVEST,BE,MASK INVESTMENTS LIMITED,H
MAWANASUG,BE,MAWANA SUGARS LIMITED,H
MBECL,BE,MCNALLY BH. ENG. CO.LTD,H
MELSTAR,BZ,MELSTAR INFORMATION TECH,H
MIRCELECTR,EQ,MIRC ELECTRONICS LTD,H
MOHITIND,BE,MOHIT INDUSTRIES LTD,H
MOHOTAIND,EQ,MOHOTA INDUSTRIES LIMITED,H
MUKANDLTD,BE,MUKAND LTD.,H
NAGAFERT,EQ,NAGARJUN FERT AND CHE LTD,H
NDL,BE,NANDAN DENIM LIMITED,H
NDRAUTO,EQ,NDR AUTO COMPONENTS LTD,H
NETF,EQ,TATAAML - NETF,H
NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,H
NITINFIRE,BZ,NITIN FIRE PROT IND. LTD.,H
NOIDATOLL,EQ,NOIDA TOLL BRIDGE CO LTD,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
OMKARCHEM,BE,OMKAR SPL CHEM LTD,H
ONEPOINT,BE,ONE POINT ONE SOL LTD,H
OSWALSEEDS,SM,SHREEOSWAL S AND CHE LTD,H
PAEL,BZ,PAE LIMITED,H
PATSPINLTD,BE,PATSPIN INDIALTD.,H
PENIND,EQ,PENNAR INDUSTRIES LTD,H
PNC,BE,PRITISH NANDY COMMUNICATI,H
