MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NG,DHANILOANS,DHANI LOANS & SERV LTD,       999.80,       999.80,       999.80,       999.80,       999.80,                    77984.40,78, ,1,      1075.00,       720.00
N,NG,ECLFINANCE,SEC RED NCD 9.25% SR. III,       968.81,       975.00,       980.00,       968.81,       975.00,                   120666.22,124, ,5,      1000.00,       757.00
N,NG,IIFL,UNSE RE NCD 0% SR.III,       994.99,       985.05,      1000.99,       985.05,      1000.99,                    95935.64,96, ,3,      1099.00,       981.01
N,NH,ECLFINANCE,SEC RED NCD SR. IV,      1260.00,      1260.00,      1270.00,      1260.00,      1270.00,                     5070.00,4, ,2,      1270.00,       950.00
N,NH,RECLTD,7.43% TAX FREE TRI SR3B,      1314.00,      1315.00,      1315.00,      1315.00,      1315.00,                    27615.00,21, ,1,      1390.00,      1230.00
N,NI,ECLFINANCE,SEC RED NCD 9.65% SR. V,      1049.75,      1052.10,      1052.10,      1052.10,      1052.10,                    59969.70,57, ,4,      1067.00,       816.00
N,NI,IRFC,TAX FREE  7.32% SR. 102 A,      1150.75,      1150.00,      1159.99,      1150.00,      1159.99,                    88149.25,76, ,2,      1367.00,      1105.01
N,NI,L&TFINANCE,SERENCD 8.98% SR.VI OPII,      1151.95,      1159.99,      1159.99,      1159.99,      1159.99,                     5799.95,5, ,1,      1249.80,      1040.10
N,NI,RECLTD,8.12/8.32% TAX FREE NCD,      1195.00,      1199.99,      1199.99,      1192.00,      1192.00,                   235192.80,197, ,5,      1280.00,      1175.05
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       938.70,       935.00,       935.00,       934.00,       934.00,                   442942.48,474, ,20,       959.90,       728.05
N,NJ,INDIGRID,SEC RE NCD 8.20% SR.V,      1046.18,      1047.05,      1048.75,      1041.50,      1045.99,                  3671532.00,3517, ,15,      1052.00,      1000.00
N,NJ,SREIBNPNCD,9.35% SRNCD SR V B,       440.00,       385.55,       405.00,       385.00,       400.83,                    60963.75,158, ,7,       950.00,       310.00
N,NJ,TCFSL,SERENCD8.50%SR.IICIII&IV,      1112.00,      1109.70,      1110.10,      1102.01,      1110.10,                   450185.22,408, ,6,      1169.93,       915.20
N,NK,ECLFINANCE,SEC RED NCD 9.85% SR. VII,       998.99,       999.00,       999.00,       998.80,       998.80,                   116879.60,117, ,2,      1018.40,       701.01
N,NK,L&TFINANCE,SE RE NCD 8.9% SR.I OP II,      1021.20,      1017.10,      1030.00,      1017.10,      1030.00,                    20471.00,20, ,2,      1142.00,      1005.00
N,NL,IFCI,9.40 % SRNCD TR II SR III,      1040.01,      1068.90,      1068.90,      1068.90,      1068.90,                   213780.00,200, ,1,      1150.00,       955.00
N,NL,SREIBNPNCD,9.75% SRNCD SR VI B,       440.00,       411.11,       411.11,       382.00,       382.10,                   114016.20,290, ,9,       960.00,       330.00
N,NL,TCFSL,SERENCD8.65%SR.IIICIII&IV,      1167.00,      1156.00,      1156.00,      1155.00,      1155.00,                   381160.00,330, ,6,      1326.00,       942.40
N,NM,ECLFINANCE,SEC RED NCD 10.20% SR. I,      1035.01,      1035.05,      1035.05,      1035.05,      1035.05,                    10350.50,10, ,1,      1181.00,       852.00
N,NM,L&TFINANCE,SE RE NCD SR.II OPII,      1201.12,      1201.11,      1205.00,      1201.11,      1205.00,                    91576.11,76, ,2,      1265.00,       952.40
N,NN,DHFL,SEC RED NCD 9.15% SR. 2B,       380.00,       380.10,       382.00,       380.00,       381.00,                    24339.00,64, ,4,       450.00,       200.01
N,NN,ECLFINANCE,SEC RED NCD SR. II,      1243.00,      1265.00,      1265.00,      1240.00,      1240.00,                   187315.50,151, ,4,      1398.00,       900.00
N,NN,SREIBNPNCD,SRNCD SR VII B,       470.50,       564.60,       564.60,       564.60,       564.60,                      564.60,1, ,1,      1301.00,       344.42
