SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,BAJAJFINSV,Bajaj Finserv Limited, ,10/07/2021,21/07/2021,08/07/2021, , ,AGM/DIV - RS 3  PER SH   
EQ,BAJAJ-AUTO,Bajaj Auto Limited, ,10/07/2021,22/07/2021,08/07/2021, , ,AGM/DIV - RS 140 PER SH  
EQ,SOLARINDS,Solar Industries (I) Ltd, ,21/08/2021,31/08/2021,18/08/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,MAYURUNIQ,Mayur Uniquoters Ltd, ,09/07/2021,10/07/2021,07/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,RBL,Rane Brake Lining Limited,19/07/2021, , ,16/07/2021, , ,AGM/DIV - RS 25 PER SH   
EQ,AKZOINDIA,Akzo Nobel India Limited, ,07/08/2021,13/08/2021,05/08/2021, , ,AGM/DIV - RS 30 PER SH   
EQ,PSB,Punjab & Sind Bank, ,14/07/2021,20/07/2021,12/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,PERSISTENT,Persistent Systems Ltd, ,15/07/2021,21/07/2021,13/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,CHOLAFIN,Cholamandalam In & Fin Co, ,26/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 0.70 PER SH 
EQ,KIRLOSIND,Kirloskar Industries Limi, ,04/08/2021,10/08/2021,02/08/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,GPPL,Gujarat Pipavav Port Ltd, ,07/08/2021,13/08/2021,05/08/2021, , ,DIV - RS 2.40 PER SH     
EQ,IMFA,Indian Metals & Ferro, ,23/07/2021,24/07/2021,20/07/2021, , ,AGM/DIV - RS 7 PER SH    
EQ,BAJFINANCE,Bajaj Finance Limited, ,10/07/2021,20/07/2021,08/07/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,SMLISUZU,SML Isuzu Limited, ,23/07/2021,30/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,MAANALU,Maan Aluminium Limited, ,17/07/2021,23/07/2021,15/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,MAANALU,Maan Aluminium Limited,03/08/2021, , ,02/08/2021, , ,BONUS 1:1                
EQ,ELGIRUBCO,Elgi Rubber Co. Ltd, ,20/08/2021,26/08/2021,17/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,L&TFH,L&T Finance Holdings Ltd, ,22/07/2021,28/07/2021,19/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,TCIDEVELOP,TCI Developers Limited, ,23/07/2021,28/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,LALPATHLAB,Dr. Lal Path Labs Ltd.,22/07/2021, , ,20/07/2021, , ,AGM/DIV - RS 8 PER SH    
EQ,WABCOINDIA,WABCO India Limited,13/08/2021, , ,12/08/2021, , ,DIV - RS 11 PER SH       
EQ,KOKUYOCMLN,Kokuyo Camlin Limited, ,27/08/2021,31/08/2021,25/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,HEROMOTOCO,Hero MotoCorp Limited, ,24/07/2021,04/08/2021,22/07/2021, , ,AGM/DIV-RS25/SPLDIV-RS10 
EQ,APLLTD,Alembic Pharma Ltd, ,21/07/2021,27/07/2021,19/07/2021, , ,AGM/DIV - RS 14 PER SH   
EQ,MINDACORP,Minda Corporation Ltd, ,05/07/2021,09/07/2021,01/07/2021, , ,DIV - RS 0.35 PER SH     
EQ,HIL,HIL Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 25 PER SH   
EQ,PEL,Piramal Enterprises Ltd.,07/07/2021, , ,06/07/2021, , ,DIV - RS 33 PER SH       
EQ,ORIENTCEM,Orient Cement Ltd., ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
EQ,VAIBHAVGBL,Vaibhav Gems Limited, ,02/07/2021,02/07/2021,30/06/2021, , ,AGM/DIV - RS 1.50 PER SH 
EQ,PRESSMN,Nucent Finance Limited, ,20/07/2021,26/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,PRESSMN,Nucent Finance Limited,19/07/2021, , ,16/07/2021, , ,DIV - RE 1 PER SH        
EQ,DCMSHRIRAM,DCM Shriram Limited,09/07/2021, , ,08/07/2021, , ,DIV - RS 3.80 PER SH     
EQ,RAMCOCEM,Ramco Cements Ltd.,12/08/2021, , ,11/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,NATHBIOGEN,Nath Bio-Genes (I) Ltd, ,22/08/2021,27/08/2021,18/08/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,AGRITECH,Agri-Tech (India) Limited, ,24/07/2021,29/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,BUTTERFLY,Btrfly Gandhi Appl Ltd, ,23/07/2021,29/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,PDSMFL,PDS Multinational Fas Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV-RS 15.75 PER SH  
EQ,TECHIN,Techindia Nirman Limited, ,24/07/2021,29/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SHARDACROP,Sharda Cropchem Limited,22/07/2021, , ,20/07/2021, , ,DIV - RS 3 PER SH        
EQ,DTIL,Dhunseri Tea & Ind. Ltd., ,03/07/2021,05/07/2021,01/07/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,FCL,Fineotex Chemical Limited,09/07/2021, , ,08/07/2021, , ,AGM/DIV-RS 0.30 PER SH   
EQ,CAMLINFINE,Camlin Fine Sciences Ltd, ,14/07/2021,20/07/2021,12/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,VISHNU,Vishnu Chemicals Limited,02/07/2021, , ,01/07/2021, , ,AGM/DIV - RS 1 PER SH    
EQ,JMA,Jullundur Mot Agency Ltd, ,18/08/2021,24/08/2021,13/08/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,BHAGERIA,Bhageria Industries Ltd, ,25/07/2021,31/07/2021,22/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
EQ,SYNGENE,Syngene International Ltd,14/07/2021, , ,13/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,ALKEM,Alkem Laboratories Ltd.,10/08/2021, , ,09/08/2021, , ,DIV - RS 5 PER SH        
EQ,PRECAM,Precision Camshafts Ltd., ,20/07/2021,27/07/2021,16/07/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,ADANITRANS,Adani Transmission Ltd, ,06/07/2021,13/07/2021,02/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SHRIPISTON,Shriram Pist. & Ring Ltd, ,30/06/2021,06/07/2021,28/06/2021, , ,ANNUAL GENERAL MEETING   
EQ,CONTROLPR,Control Print Limited,12/07/2021, , ,09/07/2021, , ,AGM/DIV-RS 4.50 PER SH   
EQ,LTI,L&T Infotech Limited,02/07/2021, , ,01/07/2021, , ,DIV - RS 25 PER SH       
EQ,PDMJEPAPER,Pudumjee Paper Pro. Ltd, ,14/08/2021,21/08/2021,12/08/2021, , ,AGM/DIV - RE 0.30 PER SH 
EQ,LSIL,Lloyds Steels Ind. Ltd., ,09/07/2021,15/07/2021,07/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,BALKRISHNA,Balkrshna Paper Mills Ltd, ,17/07/2021,23/07/2021,15/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,CROMPTON,Crompt Grea Con Elec Ltd,09/07/2021, , ,08/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,KIRLFER,Kirloskar Ferrous Ind Ltd, ,18/07/2021,27/07/2021,15/07/2021, , ,AGM/DIV-RS 3 PER SH      
EQ,GPTINFRA,GPT Infraprojects Ltd, ,13/08/2021,19/08/2021,11/08/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,LTTS,L&T Technology Ser. Ltd., ,10/07/2021,16/07/2021,08/07/2021, , ,AGM/DIV-RS 14.50 PER SH  
EQ,SHANKARA,Shankara Bldg Product Ltd, ,27/07/2021,29/07/2021,23/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,GODREJAGRO,Godrej Agrovet Limited, ,06/08/2021,09/08/2021,04/08/2021, , ,AGM/DIV - RS 8 PER SH    
EQ,TCPLPACK,TCPL Packaging Limited, ,21/08/2021,27/08/2021,18/08/2021, , ,AGM/DIV - RS 7.35 PER SH 
EQ,LAURUSLABS,Laurus Labs Limited, ,09/07/2021,15/07/2021,07/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,TIINDIA,Tube Invest of India Ltd, ,06/08/2021,13/08/2021,04/08/2021, , ,AGM/DIV-RS 1.50 PER SH   
EQ,GREENPANEL,Greenpanel Industries Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,ANNUAL GENERAL MEETING   
EQ,MAHLOG,Mahindra Logistic Limited, ,21/07/2021,27/07/2021,19/07/2021, , ,DIV - RS 2.50  PER SH    
EQ,IFGLEXPOR,IFGL Refractories Limited, ,31/07/2021,07/08/2021,29/07/2021, , ,AGM/DIV-RS 4/SPLDIV-RS 6 
EQ,HITECHCORP,Hitech Corporation Ltd,22/07/2021, , ,20/07/2021, , ,DIV - RE 1 PER SH        
EQ,BSE,BSE Limited,06/08/2021, , ,05/08/2021, , ,DIV - RS 21 PER SH       
EQ,CHEMBOND,Chembond Chemicals Ltd, ,09/07/2021,16/07/2021,07/07/2021, , ,AGM/DIV-RS 2.25 PER SH   
EQ,TATASTLLP,Tata Steel Long Pro Ltd, ,24/07/2021,05/08/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,ENDURANCE,Endurance Techno. Ltd., ,14/08/2021,25/08/2021,12/08/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,SALASAR,Salasar Techno Engg. Ltd.,14/07/2021, , ,13/07/2021, , ,BONUS 1:1                
EQ,GMMPFAUDLR,GMM Pfaudler Limited, ,07/08/2021,13/08/2021,05/08/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,HDFCAMC,HDFC AMC Limited, ,01/07/2021,16/07/2021,29/06/2021, , ,AGM/DIV - RS 34 PER SH   
EQ,PRIVISCL,Privi Speciality Che Ltd, ,20/08/2021,27/08/2021,17/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,PRIVISCL,Privi Speciality Che Ltd,18/08/2021, , ,17/08/2021, , ,DIV - RS 2 PER SH        
EQ,DVL,Dhunseri Petrochem Limite, ,07/08/2021,13/08/2021,05/08/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,NEWGEN,Newgen Software Tech Ltd,16/07/2021, , ,15/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
EQ,AMJLAND,AMJ Land Holdings Limited, ,14/08/2021,21/08/2021,12/08/2021, , ,AGM/DIV - RE 0.20 PER SH 
EQ,3PLAND,3P Land Holdings Limited, ,20/08/2021,31/08/2021,17/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,FINEORG,Fine Organic Ind. Ltd., ,18/08/2021,24/08/2021,13/08/2021, , ,AGM/DIV RS 6/SPLDIV RS 5 
EQ,SUNDARMHLD,Sundaram Finance Hold Ltd, ,01/07/2021,14/07/2021,29/06/2021, , ,AGM/DIV - RS 0.50 PER SH 
EQ,BANDHANBNK,Bandhan Bank Limited, ,31/07/2021,06/08/2021,29/07/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,ORIENTELEC,Orient Electric Limited, ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
EQ,ADANIGREEN,Adani Green Energy Ltd, ,06/07/2021,13/07/2021,02/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,MAHEPC,Mahindra EPC Irrig Ltd, ,16/07/2021,22/07/2021,14/07/2021, , ,AGM/DIV - RS 1.20 PER SH 
EQ,SUVENPHAR,Suven Pharmaceuticals Ltd,17/08/2021, , ,13/08/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,ARTEMISMED,Artemis Med Services Ltd, ,14/07/2021,20/07/2021,12/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,HAPPSTMNDS,Happiest Minds Techno Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,CAMS,Computer Age Mngt Ser Ltd,29/07/2021, , ,28/07/2021, , ,DIV - RS 11.84 PER SH    
EQ,KHAICHEM,Khaitan Chem & Fert Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RE 0.15 PER SH 
EQ,CHOLAHLDNG,Cholamandalam Fin Hol Ltd, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RS 0.55 PER SH 
EQ,BSOFT,BIRLASOFT LIMITED,16/07/2021, , ,15/07/2021, , ,DIV - RS 2.50 PER SH     
EQ,OAL,Oriental Aromatics Limite, ,20/07/2021,27/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,LXCHEM,Laxmi Organic Indus Ltd,15/07/2021, , ,14/07/2021, , ,DIV - RS 0.50 PER SH     
EQ,SMCGLOBAL,SMC Global Securities Ltd, ,17/07/2021,21/07/2021,15/07/2021, , ,DIV - RE 0.80 PER SH     
EQ,MTARTECH,MTAR Technologies Limited,23/07/2021, , ,22/07/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,GLAND,Gland Pharma Limited,10/08/2021, , ,09/08/2021, , ,ANNUAL GENERAL MEETING   
GS,824GS2027,GOI LOAN 8.24%2027,13/08/2021, , ,12/08/2021, , ,INTEREST PAYMENT         
GS,732GS2024,GOVERNMENT OF INDIA,26/07/2021, , ,23/07/2021, , ,INTEREST PAYMENT         
GS,828GS2032,GOI LOAN 8.28%2032,13/08/2021, , ,12/08/2021, , ,INTEREST PAYMENT         
GS,82GS2022,GOI LOAN 8.20%2022,13/08/2021, , ,12/08/2021, , ,INTEREST PAYMENT         
GS,832GS2032,GOI LOAN 8.32% 2032,31/07/2021, , ,29/07/2021, , ,INTEREST PAYMENT         
GS,833GS2026,GOI LOAN 8.33% 2026,07/07/2021, , ,06/07/2021, , ,INTEREST PAYMENT         
GS,84GS2024,GOI LOAN 8.40% 2024,26/07/2021, , ,23/07/2021, , ,INTEREST PAYMENT         
GS,726GS2029,GOI LOAN 7.26% 2029,12/07/2021, , ,09/07/2021, , ,INTEREST PAYMENT         
GS,587GS2022,GOI 5.87% 2022,26/08/2021, , ,25/08/2021, , ,INTEREST PAYMENT         
GS,683GS2039,GOI 6.83% 2039,17/07/2021, , ,15/07/2021, , ,INTEREST PAYMENT         
GS,717GS2028,GOI LOAN 7.17% 2028,06/07/2021, , ,05/07/2021, , ,INTEREST PAYMENT         
GS,759GS2026,GOI LOAN 7.59% 2026,09/07/2021, , ,08/07/2021, , ,INTEREST PAYMENT         
GS,75GS2034,GOI LOAN 7.50% 2034,07/08/2021, , ,05/08/2021, , ,INTEREST PAYMENT         
GS,795GS2032,GOI LOAN 7.95% 2032,26/08/2021, , ,25/08/2021, , ,INTEREST PAYMENT         
GS,808GS2022,GOI LOAN 8.08% 2022,31/07/2021, , ,29/07/2021, , ,INTEREST PAYMENT         
GS,617GS2021,GOI LOAN 6.17% 2021,13/07/2021, , , , , ,INT PAYMENT/REDEMPTN     
GS,577GS2030,GOI LOAN   5.77% 2030,31/07/2021, , ,29/07/2021, , ,INTEREST PAYMENT         
GS,826GS2027,GOI LOAN 8.26% 2027,31/07/2021, , ,29/07/2021, , ,INTEREST PAYMENT         
M2,L&TFINANCE,L,08/07/2021, , ,01/07/2021,01/07/2021,07/07/2021,INTEREST PAYMENT         
M3,L&TFINANCE,L,08/07/2021, , ,01/07/2021,01/07/2021,07/07/2021,INTEREST PAYMENT         
M6,L&TFINANCE,L,08/07/2021, , ,01/07/2021,01/07/2021,07/07/2021,INTEREST PAYMENT         
M7,L&TFINANCE,L,08/07/2021, , ,01/07/2021,01/07/2021,07/07/2021,INTEREST PAYMENT         
MF,H1124D41RD,HDFCAMC - H1124D41RD,20/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32BRG,RELIGARAMC - IMFFM32BRG,02/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32BRD,RELIGARAMC - IMFFM32BRD,02/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32BDG,RELIGARAMC - IMFFM32BDG,02/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32BDD,RELIGARAMC - IMFFM32BDD,02/07/2021, , , , , ,DIV/REDEMPTION           
MF,ABSLFTQLDQ,BIRLASLAMC - ABSLFTQLDQ,09/07/2021, , , , , ,REDEMPTION               
MF,UTIRMP29P9,UTIAMC - UTIRMP29P9,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDQP29P9,UTIAMC - UTIDQP29P9,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDAP29P9,UTIAMC - UTIDAP29P9,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32CDG,RELIGARAMC - IMFFM32CDG,29/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32CRG,RELIGARAMC - IMFFM32CRG,29/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32CRD,RELIGARAMC - IMFFM32CRD,29/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1122D41RG,HDFCAMC - H1122D41RG,26/07/2021, , , , , ,REDEMPTION               
MF,H1122D41DQ,HDFCAMC - H1122D41DQ,26/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1122D41DD,HDFCAMC - H1122D41DD,26/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1122D41DG,HDFCAMC - H1122D41DG,26/07/2021, , , , , ,REDEMPTION               
MF,H1122D41RD,HDFCAMC - H1122D41RD,26/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1122D41RQ,HDFCAMC - H1122D41RQ,26/07/2021, , , , , ,DIV/REDEMPTION           
MF,ABSLFTQLRN,BIRLASLAMC - ABSLFTQLRN,09/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQLRG,BIRLASLAMC - ABSLFTQLRG,09/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQLDG,BIRLASLAMC - ABSLFTQLDG,09/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQLRQ,BIRLASLAMC - ABSLFTQLRQ,09/07/2021, , , , , ,REDEMPTION               
MF,UTIRAP29P9,UTIAMC - UTIRAP29P9,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDGR29P9,UTIAMC - UTIDGR29P9,15/07/2021, , , , , ,REDEMPTION               
MF,UTIRQP29P9,UTIAMC - UTIRQP29P9,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDMP29P9,UTIAMC - UTIDMP29P9,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIRGR29P9,UTIAMC - UTIRGR29P9,15/07/2021, , , , , ,REDEMPTION               
MF,UTIRAP29P8,UTIAMC - UTIRAP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDAP29P8,UTIAMC - UTIDAP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,ABSLFTQKDQ,BIRLASLAMC - ABSLFTQKDQ,07/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQKRG,BIRLASLAMC - ABSLFTQKRG,07/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQKRN,BIRLASLAMC - ABSLFTQKRN,07/07/2021, , , , , ,REDEMPTION               
MF,IKDG,SUNDARMAMC - IKDG, ,14/07/2021,14/07/2021, , , ,REDEMPTION               
MF,IKRD,SUNDARMAMC - IKRD, ,14/07/2021,14/07/2021, , , ,REDEMPTION               
MF,IKRG,SUNDARMAMC - IKRG, ,14/07/2021,14/07/2021, , , ,REDEMPTION               
MF,IKDD,SUNDARMAMC - IKDD, ,14/07/2021,14/07/2021, , , ,REDEMPTION               
MF,UTIDMP29P8,UTIAMC - UTIDMP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDFP29P8,UTIAMC - UTIDFP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIRFP29P8,UTIAMC - UTIRFP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDGR29P8,UTIAMC - UTIDGR29P8,15/07/2021, , , , , ,REDEMPTION               
MF,UTIRGR29P8,UTIAMC - UTIRGR29P8,15/07/2021, , , , , ,REDEMPTION               
MF,UTIDQP29P8,UTIAMC - UTIDQP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIRQP29P8,UTIAMC - UTIRQP29P8,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTRGR29P11,UTIAMC - UTRGR29P11,15/07/2021, , , , , ,REDEMPTION               
MF,UTDGR29P11,UTIAMC - UTDGR29P11,15/07/2021, , , , , ,REDEMPTION               
MF,UTDFP29P11,UTIAMC - UTDFP29P11,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTDMP29P11,UTIAMC - UTDMP29P11,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UFDHIPIPII,UTIAMC - UFDHIPIPII,19/07/2021, , , , , ,DIV/STP                  
MF,UTFDQIPIPI,UTIAMC - UTFDQIPIPI,07/07/2021, , , , , ,DIV/STP                  
MF,UTFDQIPIGI,UTIAMC - UTFDQIPIGI,07/07/2021, , , , , ,STP                      
MF,UTFIQIPRPI,UTI-FIIF QIP - I - RDP,07/07/2021, , , , , ,DIV/STP                  
MF,UTFIQIPRRI,UTI-FIIF QIP - I - RDR,07/07/2021, , , , , ,DIV/STP                  
MF,UTFIQIPRGI,UTI-FIIF QIP - I - RG,07/07/2021, , , , , ,STP                      
MF,UFIS2QPRP7,UTI-FIIF II-QIP- VII-RDP,19/07/2021, , , , , ,DIV/STP                  
MF,UFIS2QPRR7,UTI-FIIF II-QIP- VII-RDR,19/07/2021, , , , , ,DIV/STP                  
MF,UFIS2QPRG7,UTI-FIIF II-QIP- VII-RG,19/07/2021, , , , , ,STP                      
MF,UTFIHIPRPI,UTI-FIIF - HYIP - I - RDP,19/07/2021, , , , , ,DIV/STP                  
MF,UTFIHIPRRI,UTI-FIIF - HYIP - I - RDR,19/07/2021, , , , , ,DIV/STP                  
MF,UTFIHIPRGI,UTI-FIIF - HYIP - I - RG,19/07/2021, , , , , ,STP                      
MF,UFDS2QPIR7,UTIAMC - UFDS2QPIR7,19/07/2021, , , , , ,DIV/STP                  
MF,UFDS2QPRP7,UTIAMC - UFDS2QPRP7,19/07/2021, , , , , ,STP                      
MF,UTFDHIPIRI,UTIAMC - UTFDHIPIRI,19/07/2021, , , , , ,DIV/STP                  
MF,UTFDHIPIGI,UTIAMC - UTFDHIPIGI,19/07/2021, , , , , ,STP                      
MF,UFDS2QPIP7,UTIAMC - UFDS2QPIP7,19/07/2021, , , , , ,DIV/STP                  
MF,UTFDQIPIRI,UTIAMC - UTFDQIPIRI,07/07/2021, , , , , ,DIV/STP                  
MF,SC6DD,SUNDARMAMC - SC6DD, ,19/07/2021,19/07/2021, , , ,REDEMPTION               
MF,SC6DG,SUNDARMAMC - SC6DG, ,19/07/2021,19/07/2021, , , ,REDEMPTION               
MF,SC6RD,SUNDARMAMC - SC6RD, ,19/07/2021,19/07/2021, , , ,REDEMPTION               
MF,SC6RG,SUNDARMAMC - SC6RG, ,19/07/2021,19/07/2021, , , ,REDEMPTION               
MF,IMFFM32ADG,RELIGARAMC - IMFFM32ADG,05/07/2021, , , , , ,DIV/REDEMPTION           
MF,IMFFM32ARG,RELIGARAMC - IMFFM32ARG,05/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIRQP29P7,UTIAMC - UTIRQP29P7,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDQP29P7,UTIAMC - UTIDQP29P7,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDGR29P7,UTIAMC - UTIDGR29P7,15/07/2021, , , , , ,REDEMPTION               
MF,UTIRGR29P7,UTIAMC - UTIRGR29P7,15/07/2021, , , , , ,REDEMPTION               
MF,UTIRAP29P7,UTIAMC - UTIRAP29P7,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1183D39RQ,HDFCAMC - H1183D39RQ,07/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1183D39RG,HDFCAMC - H1183D39RG,07/07/2021, , , , , ,REDEMPTION               
MF,H1183D39DQ,HDFCAMC - H1183D39DQ,07/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1183D39DG,HDFCAMC - H1183D39DG,07/07/2021, , , , , ,REDEMPTION               
MF,H1183D39DD,HDFCAMC - H1183D39DD,07/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1183D39RD,HDFCAMC - H1183D39RD,07/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1181D40DD,HDFCAMC - H1181D40DD,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1181D40DG,HDFCAMC - H1181D40DG,15/07/2021, , , , , ,REDEMPTION               
MF,H1181D40DQ,HDFCAMC - H1181D40DQ,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1181D40RG,HDFCAMC - H1181D40RG,15/07/2021, , , , , ,REDEMPTION               
MF,H1181D40RQ,HDFCAMC - H1181D40RQ,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1181D40RD,HDFCAMC - H1181D40RD,15/07/2021, , , , , ,DIV/REDEMPTION           
MF,ABSLFTQJDG,BIRLASLAMC - ABSLFTQJDG,05/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQJRG,BIRLASLAMC - ABSLFTQJRG,05/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQJRN,BIRLASLAMC - ABSLFTQJRN,05/07/2021, , , , , ,REDEMPTION               
MF,UTIRGR29P6,UTIAMC - UTIRGR29P6,06/07/2021, , , , , ,REDEMPTION               
MF,UTIDAP29P6,UTIAMC - UTIDAP29P6,06/07/2021, , , , , ,DIV/REDEMPTION           
MF,UTIDGR29P6,UTIAMC - UTIDGR29P6,06/07/2021, , , , , ,REDEMPTION               
MF,UTIRAP29P6,UTIAMC - UTIRAP29P6,06/07/2021, , , , , ,DIV/REDEMPTION           
MF,LTMFEOF2D,LTAMC - LTMFEOF2D, ,12/07/2021,12/07/2021, , , ,REDEMPTION               
MF,LTMFEOF2R,LTAMC - LTMFEOF2R, ,12/07/2021,12/07/2021, , , ,REDEMPTION               
MF,H1124D41DG,HDFCAMC - H1124D41DG,20/07/2021, , , , , ,REDEMPTION               
MF,H1124D41RG,HDFCAMC - H1124D41RG,20/07/2021, , , , , ,REDEMPTION               
MF,H1124D41RQ,HDFCAMC - H1124D41RQ,20/07/2021, , , , , ,DIV/REDEMPTION           
MF,ABSLFTQKDG,BIRLASLAMC - ABSLFTQKDG,07/07/2021, , , , , ,REDEMPTION               
MF,ABSLFTQJRQ,BIRLASLAMC - ABSLFTQJRQ,05/07/2021, , , , , ,REDEMPTION               
MF,H1124D41DQ,HDFCAMC - H1124D41DQ,20/07/2021, , , , , ,DIV/REDEMPTION           
MF,H1124D41DD,HDFCAMC - H1124D41DD,20/07/2021, , , , , ,DIV/REDEMPTION           
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/08/2021, , ,23/08/2021,23/08/2021,27/08/2021,INTEREST PAYMENT         
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/07/2021, , ,20/07/2021,20/07/2021,27/07/2021,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/07/2021, , ,20/07/2021,20/07/2021,27/07/2021,INTEREST PAYMENT         
