MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,NETFDIVOPP,NIP IND ETF DIV OPP,        39.81,        40.65,        41.59,        39.82,        40.50,                    66251.67,1630,56,        46.00,        24.20,NIFTY DIV OPPS 50
N,EQ,NETFGILT5Y,RELCAPAMC - NETFGILT5Y,        48.10,        48.18,        48.22,        48.14,        48.14,                    16145.17,335,9,        50.00,        46.86,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,NETFIT,NIP IND ETF IT,        29.62,        30.24,        30.24,        29.40,        29.47,                 14510283.45,491875,2926,        32.50,        14.00,NIFTYIT
N,EQ,NETFLTGILT,NIP IND ETF LONGTERM GILT,        22.52,        24.50,        24.50,        22.00,        22.59,                   295423.13,13086,64,        25.00,        18.00,NIFTY GS 8 13YR
N,EQ,NETFMID150,NIP IND ETF MIDCAP 150,       102.99,       103.90,       103.90,       102.58,       102.98,                 20475902.06,198538,1503,       108.70,        47.65,NIFTY MIDCAP 150
N,EQ,NETFNIF100,NIP IND ETF NIFTY 100,       164.82,       167.00,       167.87,       164.40,       164.49,                   135378.83,821,44,       195.00,        96.05,NIFTY 100
N,EQ,NETFNV20,NIP IND ETF ETF NV20,        87.57,        88.80,        88.80,        87.13,        87.93,                   439123.15,5022,100,        95.10,        45.00,NIFTY50 VALUE 20
N,EQ,NETFSDL26,RELCAPAMC-NETFSDL26,       103.60,       103.45,       103.57,       103.45,       103.57,                    11690.93,113,4,       106.67,       101.15,NIFTY SDL APR 2026 TOP 20 EQUAL WEIGHT
N,EQ,NIFTYBEES,NIP IND ETF NIFTY BEES,       169.13,       173.45,       173.45,       168.51,       168.92,                176016418.93,1040915,41327,       184.88,       102.26,NIFTY 50
N,EQ,NPBET,TATAAML - NPBET,       185.55,       183.00,       190.99,       180.56,       184.57,                   158043.42,843,83,       219.98,       105.53,NIFTY PRIVATE BANK INDEX
N,EQ,PSUBNKBEES,NIP IND ETF PSU BANK BEES,        27.58,        26.00,        27.78,        26.00,        27.51,                 10034747.88,363942,1344,        29.80,        13.56,NIFTY PSU BANK INDEX
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,      2014.00,      2030.00,      2035.90,      2010.00,      2034.25,                   978111.05,482,154,      2522.40,      1836.40,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY ETF,      1634.10,      1631.75,      1631.75,      1631.00,      1631.00,                    16312.25,10,3,      1677.87,      1054.00,NIFTY 50
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       296.44,       298.99,       298.99,       291.96,       294.27,                   576382.31,1960,129,       300.00,       201.20,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       182.98,       184.99,       184.99,       181.95,       183.11,                    45258.02,247,36,       202.95,       130.60,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       138.53,       138.53,       142.00,       136.16,       138.91,                   294378.51,2117,90,       142.00,        90.50,NIFTY 200 QUALITY 30 INDEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       205.45,       207.48,       207.48,       205.25,       205.55,                   134503.26,651,15,       241.70,       181.02,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,      4145.85,      4166.10,      4200.05,      4166.10,      4187.35,                 23403058.05,5596,1138,      5135.75,      3935.00,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       159.97,       160.55,       160.99,       159.50,       159.61,                 21186227.79,132493,1472,       178.00,       105.40,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       347.56,       348.32,       349.00,       346.50,       346.76,                  6679195.47,19183,374,       386.80,       204.00,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       399.92,       435.90,       435.90,       399.05,       399.80,                  2884797.16,7194,510,       454.80,       250.80,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       407.24,       414.00,       426.90,       409.00,       410.00,                   133074.65,323,51,       463.20,       240.10,SHARIAH INDEX
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,        35.03,        35.75,        35.75,        34.40,        34.59,                   288197.79,8329,183,       428.00,        26.40,NIFTY BANK INDEX
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,        40.01,        40.20,        41.47,        40.01,        40.26,                   247699.72,6105,91,       435.30,        33.00,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,      1650.75,      1654.20,      1654.20,      1640.00,      1648.85,                   410791.22,249,55,      1716.20,      1083.20,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       549.99,       549.00,       559.89,       549.00,       549.81,                   659964.34,1198,84,       595.00,       370.00,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,        44.23,        44.50,        45.50,        44.07,        44.50,                   134640.67,3044,53,       426.90,        37.10,BSE SENSEX NEXT 50
